,,,,,,,,Matrice de confusion Globale sur la base de test Multi-séquences sans bruit ajouté. (Images de digits de plaques),,,,,
,,,,,,,,,,,,,
,,,,,,,,Reconnaissance globale,,,,,
,,,,,,,,,,,,,
,,,,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,
,,,0,87.5,0,0,0,0,0,0,0,12.5,0
,,,1,0,100,0,0,0,0,0,0,0,0
,,,2,0,0,100,0,0,0,0,0,0,0
,,,3,0,0,0,92.3125,0,0,0,0,0,7.69140625
,,,4,0,0,0,0,70.625,0,29.421875,0,0,0
,,,5,0,6.25,0,0,0,93.75,0,0,0,0
,,,6,0,0,0,0,10,10,80,0,0,0
,,,7,0,0,0,0,0,0,0,100,0,0
,,,8,0,0,0,0,0,0,0,0,100,0
,,,9,0,7.69140625,0,7.69140625,0,0,7.69140625,0,7.69140625,69.25
,,,,,,,,,,,,,
,,,,,,,,Résultats en se basant sur des séquences données à la fois.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Matrice de confusion de chaque digit selon différentes résolutions. Base de test multi-Séquences,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Digit 0,0,1,2,3,4,5,6,7,8,9
,,,2x2,37.5,37.5,0,0,0,25,0,0,0,0
,,,3x2,12.5,37.5,0,0,12.5,0,0,0,37.5,0
,,,3x3,31.25,6.25,0,0,0,12.5,18.75,0,25,6.25
,,,4x3,50,0,0,0,0,0,25,0,25,0
,,,4x4,37.5,0,0,0,20.8333333333,0,8.3333333333,0,33.3333333333,0
,,,5x2,16.6666666667,8.3333333333,0,0,0,12.5,16.6666666667,4.1666666667,25,16.6666666667
,,,5x4,54.1666666667,0,0,4.1666666667,4.1666666667,0,8.3333333333,0,29.1666666667,0
,,,5x5,76.5625,0,0,0,0,0,11.71875,0,11.71875,0
,,,6x3,75,0,0,0,0,0,18.75,0,6.25,0
,,,6x4,62.5,0,0,0,12.5,0,12.5,0,12.5,0
,,,6x5,71.875,0,0,0,7.8125,0,0,0,7.8125,12.5
,,,6x6,59.375,0,0,0,0,0,21.875,0,9.375,9.375
,,,7x7,79.4642857143,0,0,0,0,0,12.5,0,8.0357142857,0
,,,8x3,87.5,0,0,0,0,0,12.5,0,0,0
,,,8x4,37.5,0,0,0,18.75,0,12.5,0,18.75,12.5
,,,8x5,100,0,0,0,0,0,0,0,0,0
,,,8x6,69.6428571429,0,0,0,5.3571428571,0,12.5,0,12.5,0
,,,8x8,87.5,0,0,0,0,0,7.0652173913,0,5.4347826087,0
,,,9x6,75,0,0,0,0,0,12.5,0,12.5,0
,,,9x7,84.7826086957,0,0,0,0,0,7.6086956522,0,7.6086956522,0
